I1,I2,I3,R1,R2,R3
28576,30428,32447,23907,28790,10782
201,251,225,639,733,255
27,45,70,39,59,14
2,2,3,0,0,0
1,9,7,5,11,1
5408,5114,5045,7627,9659,3071
206,281,305,220,249,112
265,231,303,107,156,39
7,14,16,33,44,11
100,90,110,119,116,43
20,32,20,23,21,10
38033,38545,41472,31118,36944,13391
25,36,31,26,32,7
4801,5270,5075,3580,4806,1582
6,9,13,12,12,9
400,394,461,430,589,155
44,22,17,48,31,11
4,7,4,3,5,2
2095,2762,2332,2756,3227,1135
2051,2802,2045,2128,2121,1166
0,0,0,0,0,0
22,22,22,16,21,14
0,0,0,1,1,0
4305,4669,4700,3921,4844,1698
753,922,1001,750,968,353
323,416,397,447,559,171
621,413,520,436,491,222
1943,1841,2240,1743,2445,716
17,19,11,26,38,6
36,46,45,6,15,10
25,20,17,28,27,14
112,167,178,96,176,33
2517,2615,2184,2183,2414,856
48,52,68,22,46,12
11,11,9,8,8,5
55,49,83,50,73,14
5231,3613,1083,3318,1349,1450
0,1,0,2,1,0
0,0,0,0,0,0
563,603,722,584,829,220
20,18,30,26,33,11
1,9,5,43,49,21
422,478,506,455,545,178
4,4,2,4,9,1
37,29,46,35,45,17
70,65,83,64,112,32
227,271,293,244,342,83
12,16,6,9,13,5
103,137,153,151,173,64
341,371,435,356,459,165
50,43,51,41,51,17
0,0,1,0,1,0
7,5,2,8,13,5
5,8,12,6,6,3
24,15,24,10,24,7
0,0,0,2,0,0
8,11,9,14,22,4
8,11,13,20,6,7
0,0,1,0,0,0
53,75,102,78,68,31
74,99,168,119,165,27
0,6,1,2,1,4
505,502,581,633,746,276
18,17,22,15,43,23
339,423,441,337,430,129
235,228,308,220,302,129
100,92,68,84,83,41
271,238,277,297,400,98
44,39,44,33,51,19
45,65,70,54,94,26
178,184,257,209,282,76
78,112,123,103,130,35
0,0,0,0,1,0
57,63,60,79,81,14
105,106,92,92,90,55
53,63,76,55,86,35
6,12,9,9,16,4
17,16,16,12,21,4
6,2,7,8,5,0
504,540,602,505,618,188
20,7,14,15,20,6
43,50,68,57,72,23
25,21,29,16,34,3
1,0,0,0,1,0
538,524,588,407,619,156
0,0,0,2,0,0
91,99,86,1194,1412,458
274,278,414,122,216,47
9,6,10,4,4,1
17,23,34,24,47,3
27,18,38,13,16,8
68,80,109,100,230,46
232,245,235,177,213,62
19,24,31,30,36,7
22,20,23,21,23,2
240,262,405,303,520,120
7,10,3,10,3,0
382,444,305,1356,1549,507
315,408,544,21,23,3
0,0,0,0,0,0
165,185,194,158,232,68
7504,7519,8137,7302,8691,3361
12,33,14,40,46,27
0,0,1,0,1,0
1,2,2,2,0,0
12,24,26,20,31,9
13,21,17,22,36,11
6559,6936,7194,6584,8611,2769
1549,1850,1987,1796,2423,666
7173,7347,7980,6525,8282,2717
0,0,0,0,0,0
41,24,40,30,34,15
0,0,0,1,1,0
0,0,1,0,0,0
97,111,116,90,176,47
4,5,2,5,2,2
44,40,59,228,293,66
0,0,2,2,2,0
55,94,62,83,95,27
335,303,362,374,474,134
7,14,17,10,29,4
119,127,145,109,170,45
4,5,14,6,11,2
32,54,69,36,80,31
195,135,158,179,182,88
25,32,18,16,21,9
65,103,103,63,115,36
331,361,487,230,365,110
416,473,489,489,652,213
20,26,42,24,37,14
239,258,299,266,348,123
163,184,179,176,184,66
216,258,312,249,391,122
37,19,41,46,47,13
3147,3840,4083,3313,4320,1357
24,30,35,125,132,49
5,10,6,8,9,2
302,363,363,1073,1254,400
1,5,2,2,4,0
330,280,617,537,601,112
0,0,0,0,0,0
353,386,274,265,287,105
61,64,85,60,108,37
356,489,532,409,675,136
152,161,154,154,212,53
110,142,124,90,126,26
11353,11932,13058,9423,11766,4292
4762,4017,4706,3754,4448,1798
12,9,15,24,22,7
387,387,402,429,467,165
84,94,96,67,110,30
3237,3320,3449,3111,3782,1278
60,55,55,48,80,18
2626,2812,3010,2411,3018,1060
9,12,15,20,23,7
2,0,2,2,1,1
5214,5400,4545,4764,5566,2021
13,13,8,20,16,7
19,11,12,13,19,13
1574,1774,1515,1262,1548,441
2,1,1,1,1,0
3557,3750,3962,3190,4093,1334
186,201,218,148,235,72
243,342,333,60,108,25
32,34,37,211,265,80
36,46,31,40,71,13
28,39,33,34,54,21
77,110,106,96,123,43
69,78,105,78,135,30
10,2,10,3,18,3
155,191,188,141,180,80
7,20,9,14,16,1
1968,2119,2365,1813,2300,803
11,14,9,11,13,9
879,942,1086,982,1283,389
40,31,82,77,118,7
9,14,13,16,21,8
1118,1146,1288,1004,1332,414
69,76,75,69,118,28
41,29,36,36,46,12
216,245,202,227,281,74
2,6,2,1,1,0
442,578,558,568,717,225
92,109,118,80,168,42
8,3,0,2,5,2
10,7,7,3,0,5
71,58,85,80,92,28
2,3,0,2,2,0
7,10,18,15,15,2
2,3,0,1,4,0
383,400,421,390,536,207
183,207,153,200,184,64
25,23,25,49,36,17
56,53,80,32,55,7
213,234,253,173,217,73
184,210,162,162,244,65
88,103,136,88,122,28
84,98,103,87,140,34
4,3,2,2,0,0
260,276,293,97,184,49
109,175,178,183,270,89
10,13,17,18,21,6
332,363,443,297,430,144
538,576,744,563,870,223
1332,1545,1758,1366,1836,521
20,25,26,26,35,9
83,146,187,202,319,103
251,270,303,248,300,79
6,14,9,28,33,12
8852,9578,9465,8443,10073,3315
18,22,13,258,290,91
16,13,11,26,27,7
176,194,238,394,476,117
1,6,2,5,4,1
687,780,860,900,1420,371
250,306,368,246,345,103
1,0,1,1,2,0
7,13,15,10,17,8
202,255,257,191,339,101
37,28,27,46,39,16
4,0,2,1,0,0
340,362,323,11,25,7
259,318,319,292,418,113
15,15,11,9,10,3
7,7,7,7,9,5
8,6,7,3,9,2
1,0,1,1,2,1
30,41,75,55,75,15
7,4,10,4,12,3
65,49,78,55,87,24
17,13,20,12,24,6
473,531,534,1707,2201,618
4,6,4,8,10,1
4,5,9,8,6,9
28,40,26,23,34,13
67,70,80,44,82,19
1686,1900,2258,1916,2501,862
22,31,46,27,59,16
488,578,654,242,399,105
29,19,16,19,15,3
48,35,65,2,4,1
58,81,46,46,45,12
0,0,0,0,0,0
0,2,0,1,3,0
443,517,573,416,748,183
130,175,200,189,332,75
5,6,4,6,8,5
635,749,888,653,944,307
417,470,403,1107,1263,493
21,8,22,19,41,1
300,352,281,250,289,118
3635,3508,2253,2692,2535,992
297,330,496,348,508,163
67,86,83,72,116,39
80,149,127,274,399,156
12,12,21,15,29,7
3,6,6,4,6,0
217,314,372,245,404,125
2149,2367,2781,2259,3210,949
489,565,548,511,626,221
501,565,737,970,1282,455
561,621,718,626,886,241
45,49,81,18,32,6
2,4,2,4,2,0
10,3,9,7,10,3
6,8,7,22,19,8
338,471,451,383,486,172
240,267,355,320,442,114
10,14,22,76,111,32
34,29,19,39,40,15
12,10,12,17,9,5
1,3,3,2,4,1
63,85,87,78,126,49
1874,2187,2416,424,719,154
0,3,0,2,1,0
209,209,211,172,187,62
1492,1636,1774,1656,2245,677
72,65,82,82,109,16
24,18,22,23,18,11
2,2,3,0,1,0
1,5,3,0,1,0
644,654,729,175,244,67
4,6,4,2,5,2
16,11,17,13,10,6
149,233,253,205,299,96
93,88,115,152,191,68
20,18,21,16,13,5
6772,6655,5719,6529,7193,3040
4530,4316,4612,4242,5330,1724
2,8,10,13,11,6
46,71,65,80,125,40
67,103,116,73,95,25
31684,32778,33874,25599,29592,11206
13,16,22,7,16,1
8,8,14,22,10,3
3,1,4,0,2,0
105,135,126,35,74,8
170,202,256,292,370,95
5,10,8,8,14,4
284,305,301,280,311,101
91,83,59,38,47,13
8,7,11,9,12,8
11,17,28,20,39,6
1,0,0,0,0,1
3,1,0,3,2,2
7,10,13,8,7,13
79,93,138,34,64,10
235,274,300,348,376,148
189,215,259,224,308,76
7,8,3,9,13,2
88,101,119,560,643,259
1,3,3,3,6,0
220,270,245,627,845,251
39,76,58,50,82,25
62,71,83,165,196,73
277,298,315,255,369,104
1701,1741,2021,1633,2009,648
8,6,6,7,7,1
0,1,1,1,3,0
168,204,193,267,337,112
840,1427,1438,781,992,340
74,88,92,130,183,41
33,37,52,27,56,9
93,96,107,103,118,39
2,7,9,2,3,3
7,10,15,6,7,2
291,293,325,287,400,85
33,49,45,362,445,133
82,115,123,130,145,42
26,40,20,32,36,14
425,507,669,513,656,211
3267,3705,3701,3620,4517,1364
127,202,229,181,242,78
911,1153,1166,840,1112,356
362,411,463,399,537,158
32,30,48,30,54,19
1432,1592,1764,1323,1834,526
8,17,17,18,30,4
588,576,662,558,785,219
0,7,9,16,17,9
206,205,254,231,435,126
632,816,845,686,998,303
161,177,124,214,220,114
111,186,211,117,228,40
105,124,155,130,169,54
5464,5117,5603,4946,5742,2016
711,767,877,888,1155,357
47,56,71,79,133,41
15,17,19,22,22,9
3139,3434,3860,3303,4336,1360
41,48,46,81,60,42
6,5,6,8,12,10
24,43,37,25,48,19
142,176,158,181,205,52
120,125,146,116,227,42
0,0,0,0,0,0
0,0,1,1,0,0
21,14,52,7,13,1
197,172,242,201,364,85
115,107,138,90,147,48
5156,5224,5931,5184,6607,2261
57,51,68,69,112,25
23,10,18,25,40,8
426,499,550,1706,1658,639
5,2,6,13,9,4
18,32,24,26,30,8
136,243,383,141,117,58
30,34,36,44,46,14
787,771,977,760,939,346
118,153,181,109,236,89
5,18,16,24,41,15
109,122,148,148,218,64
25,29,18,11,29,5
8,8,18,6,7,1
3994,5987,6343,4211,7038,1659
64,81,108,32,84,14
138,175,194,78,180,44
3,2,1,0,1,0
191,127,203,175,236,49
32,47,46,31,40,21
23,20,21,26,37,14
1,0,0,0,0,0
8,2,1,12,16,4
46,29,45,34,52,17
69,108,109,140,219,68
1824,1828,1729,794,992,324
6,14,14,9,20,9
14,10,31,21,27,4
58,85,104,81,122,33
2,1,1,2,4,0
250,234,344,241,327,93
2,4,1,2,2,2
1,1,1,0,2,0
116,140,151,113,177,35
20,15,10,72,94,32
1,1,2,5,2,0
33,39,59,46,63,13
3,3,7,4,5,2
60,66,82,48,95,29
88,106,146,223,257,92
2967,3013,2092,1039,884,540
6,4,6,11,13,0
6,8,14,5,7,4
15,22,25,24,41,9
2,3,0,5,0,1
5,5,4,7,7,3
60,77,109,168,182,68
102,140,189,135,242,60
36,36,66,15,28,13
11,9,10,5,10,1
22,27,41,46,67,17
1959,2087,2299,1540,2053,582
851,825,926,861,1208,357
1,1,5,2,2,0
5,6,7,6,9,4
5,3,2,4,0,0
2,4,7,3,7,1
1120,1221,1459,520,800,221
4,8,3,6,8,2
4,2,6,3,9,1
7,5,10,9,21,5
2,1,1,2,4,1
16,12,17,18,18,8
20,13,14,8,10,5
103,148,173,113,157,67
250,331,331,677,888,264
2391,2476,2715,2295,2796,951
4,11,12,4,4,3
129,141,169,551,633,242
6,9,8,11,10,10
77,74,105,85,107,37
194,230,257,184,242,83
403,399,288,203,217,67
29,36,41,90,83,21
79,92,89,74,143,27
23,9,16,25,28,8
0,0,0,0,0,0
3668,4592,3200,2493,2759,916
140,143,186,141,239,89
28,14,26,29,46,9
317,325,384,310,491,141
9,5,9,6,10,2
42,55,52,153,170,37
434,462,484,547,685,201
65,93,105,106,132,43
24,32,29,35,48,15
0,0,0,1,0,0
13,10,15,10,22,5
5431,5620,6524,4897,6628,2117
123,80,53,94,72,32
243,199,309,246,318,108
85,80,60,100,92,39
36,42,21,36,43,13
530,515,624,527,670,199
249,241,214,241,222,107
22,30,52,26,72,20
20,22,31,24,38,14
31,52,45,41,85,12
313,405,453,399,535,176
5,7,7,18,27,14
47,40,41,57,59,25
2,5,5,4,2,0
175,187,253,164,300,68
300,416,352,261,344,111
24,33,33,37,48,14
1132,1314,1470,1347,1683,589
2066,2106,2123,1579,2007,702
434,462,408,266,330,90
478,547,640,490,669,196
6903,7567,6146,4263,5293,1560
10,14,21,21,18,5
23,24,25,42,48,13
355,356,441,370,453,168
23,34,40,55,55,21
514,530,609,517,669,271
0,0,1,0,1,0
22,17,24,12,18,9
10,13,25,3,2,0
1,0,2,0,0,0
6378,7501,6420,7498,9012,2699
22,28,39,94,135,36
16,12,16,27,42,8
22,29,26,23,33,11
95,110,107,257,275,68
23029,23015,23535,19198,24219,8324
1564,1732,1835,68,137,32
435,528,528,480,679,193
2806,3273,3632,3169,3926,1233
0,0,0,0,0,0
2606,3448,4480,3317,5065,1332
3519,3583,3405,1583,1898,597
17,23,29,13,24,2
25,24,15,9,29,3
6,5,3,6,5,3
13,36,23,20,25,6
31,27,42,35,62,12
0,1,0,2,0,2
0,0,4,3,3,1
28,31,44,25,58,13
95,94,116,84,92,22
13,14,25,19,13,2
2,2,2,1,1,0
0,0,0,0,0,0
239,245,285,227,291,82
4,0,3,0,2,1
68,81,82,58,87,32
19,23,16,10,17,2
12,8,16,28,34,3
93,119,116,129,125,52
10,17,29,17,10,4
98,126,178,122,127,63
88,96,77,104,137,46
2,0,2,0,1,0
1,1,0,0,4,0
17,16,24,16,17,6
78,76,117,159,214,44
88,80,89,76,98,39
70,84,87,89,91,23
64,86,86,71,109,21
428,454,507,119,199,26
568,588,629,514,649,195
40,40,49,30,55,16
348,392,405,296,361,104
8,5,7,7,11,4
28,41,26,47,52,12
38,58,63,104,118,36
1630,1723,1884,1456,1682,555
9,6,15,29,44,18
87,92,135,92,129,43
2752,3242,3265,2920,3809,1235
56,100,83,65,114,25
116,102,62,400,410,169
51,63,79,51,72,25
71,45,58,55,66,26
1,4,4,3,11,1
0,4,5,2,8,3
0,0,0,0,0,0
967,1020,1337,848,1129,356
332,429,451,322,481,178
14,17,25,10,14,6
0,0,2,1,0,0
71,72,112,98,132,17
79,63,83,18,20,7
47,41,52,58,57,23
150,115,130,122,132,48
37,57,54,93,97,43
18,24,23,25,25,7
14,15,20,38,57,9
1164,1217,1371,1177,1504,492
18,17,19,25,30,10
2,3,1,1,5,0
1032,1132,1176,949,1189,405
31,40,57,15,40,13
33,32,26,35,37,30
0,0,5,0,2,0
8,7,6,17,21,4
3,2,2,0,5,1
5,2,9,2,12,0
5682,5721,6679,5406,6869,2429
9,7,9,11,13,3
8,4,3,8,7,4
33,68,64,153,188,56
28,33,43,20,22,9
285,475,443,412,547,148
1091,1363,1439,27,47,7
372,339,385,363,392,134
588,716,737,632,776,278
424,567,783,369,493,159
4,8,14,3,3,2
0,0,0,0,0,0
1,0,6,2,5,1
1456,1592,1536,2418,2564,876
34,31,47,35,64,21
204,274,364,145,227,65
5,5,6,5,14,2
54,48,51,75,69,4
14,37,32,22,34,8
318,480,469,288,428,107
146,156,117,127,169,54
129,162,166,185,273,79
4,6,4,1,5,3
469,445,647,445,669,153
2474,1972,3249,2631,3194,582
1,0,0,1,3,0
0,5,0,2,2,6
405,428,488,342,465,145
5,5,6,4,10,2
27,42,36,29,35,7
91,115,126,83,135,24
55,51,55,73,87,31
3,4,7,6,14,6
3,1,2,0,12,0
85,95,96,146,123,38
2622,3479,1767,3486,3882,1155
11,26,18,26,39,14
252,254,193,224,196,80
0,0,0,0,1,0
28,43,48,42,52,25
53,70,40,80,86,20
46,68,76,62,85,27
9001,9686,10705,8679,11185,3878
133,155,160,230,281,74
89,115,110,104,109,39
17243,20477,27796,29060,27754,5064
335,470,445,338,462,151
26,16,26,21,32,8
86,95,89,96,151,61
74,107,108,151,177,48
116,86,110,358,403,109
72,68,105,78,95,23
993,1008,1213,917,1146,403
1033,1008,1229,1245,1933,601
6359,7171,7155,6124,7583,2628
3,3,1,1,2,0
19451,20572,21751,17012,21644,7059
410,506,467,376,497,163
339,385,450,312,501,144
35,51,45,24,26,12
209,271,341,334,441,120
7,9,12,14,18,3
2,11,8,5,12,3
4,1,5,3,3,1
3,5,2,2,4,3
0,0,1,0,3,1
25,25,37,27,31,13
0,1,0,0,0,0
1,0,3,1,1,1
46,61,55,27,52,14
4284,4602,4531,3715,4382,1535
22,23,30,11,25,7
8,4,8,6,6,3
4,3,3,7,1,0
9,11,15,24,29,10
5,5,3,2,7,5
11,32,15,23,16,9
17,19,34,21,28,8
76,87,99,101,158,35
1,6,7,6,11,1
16,20,31,28,53,6
3,0,4,1,2,2
255,304,319,322,349,128
4932,5606,3294,4192,4882,1581
65,60,65,75,96,39
332,249,88,236,132,108
71,62,76,75,77,35
1,2,3,0,3,3
152,114,172,122,169,46
669,735,822,738,924,358
49,41,50,68,60,21
1,6,3,8,3,1
1007,1105,1302,959,1252,516
89,123,149,75,124,25
521,554,732,498,804,251
285,334,336,297,413,133
2,6,8,4,8,1
572,648,791,1149,1375,454
30,68,46,52,65,12
750,911,1080,997,1406,406
9,0,10,3,7,2
3,2,12,4,9,3
13,9,16,10,35,2
9,16,10,7,16,4
1,7,5,7,4,2
116,161,188,166,253,76
88,152,164,109,168,46
710,867,820,1500,1839,631
46,54,81,71,93,33
14,11,17,26,45,15
21,15,22,25,23,3
71,67,111,70,98,23
3,2,2,2,3,1
23,23,30,67,78,28
18,30,14,50,36,10
11,9,11,46,32,9
83,67,64,64,96,32
213,226,193,286,273,80
14,21,19,16,23,4
73,69,107,90,117,46
0,5,0,2,1,0
215,210,216,129,184,34
65,81,80,88,134,43
0,0,1,0,0,0
0,3,2,1,0,0
42,47,59,32,63,11
159,188,153,201,234,62
182,186,203,215,267,80
242,265,282,301,366,106
7,6,9,4,7,0
2286,2623,2832,2197,2869,932
6,4,6,6,11,1
867,1005,991,889,1043,320
2,2,1,0,3,0
458,641,600,65683,72523,27719
38465,44755,38363,42138,38540,12721
2,4,9,10,12,4
47,67,100,55,121,26
3,2,2,2,5,3
84,79,89,94,125,45
0,0,1,0,1,0
1,0,1,0,2,0
36,38,19,32,29,17
547,716,911,505,803,212
6,4,5,3,11,1
597,635,660,567,662,260
1,0,3,0,2,1
62,89,82,59,107,25
5,13,14,5,13,8
519,771,804,797,1171,322
246,230,229,191,282,106
12,16,33,22,30,7
9,13,8,9,12,0
308,323,372,255,348,130
522,529,649,524,689,199
362,379,410,91,130,34
15125,15926,16939,12975,16213,5350
13,21,14,25,39,24
237,315,407,236,450,140
0,1,1,3,0,1
16,14,26,3,7,0
483,469,603,451,708,196
2,2,4,2,5,0
15,7,41,71,76,1
28,31,36,34,45,12
625,648,729,241,353,109
10,10,7,10,8,2
27,29,20,35,51,12
38,42,42,41,44,18
164,203,216,160,212,71
4,6,4,1,8,5
10,23,20,13,22,3
7418,7404,8108,6900,8519,3145
0,0,0,0,0,0
190,187,86,137,101,78
23,22,39,25,41,8
29,37,52,37,44,21
335,387,370,356,636,121
15,9,11,9,12,4
0,0,0,0,0,0
11,19,15,925,1162,372
58,56,53,58,77,44
288,292,327,260,325,115
18,21,16,16,20,6
3,4,3,9,11,5
2,14,11,0,1,1
231,316,361,334,441,139
1,1,5,1,4,1
115,114,137,119,153,41
19,24,26,8,5,1
0,0,0,0,0,0
3,2,5,9,6,0
0,0,0,0,0,0
10,10,9,13,14,2
134,203,228,160,233,59
600,683,693,571,636,214
240,274,255,224,304,85
13,12,17,11,17,1
0,0,2,0,2,0
1486,1517,1979,1334,1996,591
226,259,303,231,351,120
20,20,37,20,35,17
7,17,9,5,11,3
527,568,603,661,878,231
13,16,11,7,24,4
2892,3037,2956,297,583,112
13,41,35,28,28,5
4,4,17,8,16,3
7,5,2,2,7,1
2559,2840,2885,2038,2775,867
1,1,2,1,2,0
24,20,18,17,23,10
25,23,23,17,42,10
7,14,23,18,21,2
0,4,4,1,1,1
375,356,553,917,1466,366
146,203,188,167,262,79
242,204,312,215,327,80
0,0,0,0,2,0
50,66,63,17,74,11
0,3,0,0,2,0
1,0,0,0,0,0
496,554,730,502,666,213
387,465,484,390,493,125
1,1,2,2,4,0
104,102,112,60,121,26
54,70,84,87,110,25
2,3,7,5,12,1
2380,2275,2379,2214,2424,905
14,15,13,16,25,2
765,753,959,213,377,88
1134,1348,1306,1362,1816,552
72,68,67,111,126,25
16,13,17,17,32,2
1166,1238,1228,1122,1431,448
59,57,50,34,58,29
36,40,39,40,53,16
30339,32250,34117,25402,32268,11685
0,0,0,0,0,0
38,52,64,38,65,25
5,11,10,99,92,41
8,7,7,14,11,2
187,233,251,41,60,22
34152,34079,35049,22788,27277,10347
18226,18314,18325,14644,16517,6421
5861,6470,6241,5040,6548,2339
44,57,52,16,19,5
74,98,119,44,105,13
407,493,488,346,479,124
10,14,12,11,18,3
12,9,5,4,15,2
106,156,176,98,134,34
424,377,364,389,407,147
380,461,424,400,524,175
0,1,1,0,5,0
28,43,53,76,103,15
0,0,0,2,0,0
9,9,14,32,48,12
949,747,1329,1009,1554,270
305,393,410,506,718,194
307,370,389,786,1021,325
4,4,8,5,5,2
54,57,42,58,77,18
109,120,122,129,169,66
5,14,14,14,19,13
44,29,50,247,296,121
4,0,3,4,5,0
32,53,37,50,82,19
460,599,628,381,508,160
395,459,543,412,598,169
18,35,23,18,29,9
114,110,118,108,136,49
324,353,400,335,459,157
23,15,16,12,16,4
4,3,6,5,6,4
1,2,4,8,8,3
3,2,5,0,7,0
852,884,965,744,1166,339
2,6,6,4,5,2
76,68,90,72,63,18
14,14,23,27,30,18
96,119,179,78,144,35
16,7,17,17,22,6
34,32,37,39,36,8
1,2,5,2,2,0
1205941,1597850,1315400,1548220,1496871,543816
76,121,144,118,163,49
217,230,271,172,259,82
37,49,51,68,73,33
133,95,138,130,139,49
22,20,16,18,17,6
60,63,70,60,66,25
72,118,145,681,744,284
4554,5373,5744,3028,3910,1265
371,364,302,18,34,8
33,41,33,25,23,5
584,596,603,591,676,214
664,819,795,204,312,84
54,53,82,39,76,26
0,5,4,8,8,2
8,13,10,10,12,1
60,74,41,77,76,34
9,16,13,19,32,2
1,0,1,0,0,1
105,140,170,262,296,106
880,920,916,827,955,302
15,12,11,18,26,11
159,195,128,159,201,83
679,781,740,619,772,278
0,0,4,0,6,0
3140,3539,4169,3112,4516,1294
6,12,9,13,16,8
21,24,25,24,36,12
28,27,19,19,18,13
1,2,1,3,0,0
11,20,18,14,29,3
21574,21718,21920,16954,20909,7684
793,864,931,816,1086,359
474,515,586,578,802,192
101,114,138,85,150,43
4660,3948,5188,4765,5608,2213
223,320,312,649,882,232
12,15,16,6,12,2
69,89,105,93,126,28
248,319,319,310,472,131
82,59,89,54,89,26
0,0,0,0,0,0
19,5,32,9,23,0
75,78,95,73,98,18
261,289,368,285,389,112
86,91,129,76,165,36
34,37,21,53,79,26
1,2,0,0,1,0
42,60,64,63,85,30
1,5,5,6,4,1
5085,4976,5895,4517,5818,2021
112,90,127,123,162,55
15,19,20,17,18,5
0,0,0,0,0,0
526,541,634,491,683,240
193,242,231,494,576,219
10354,12094,12352,11142,14344,4691
0,6,2,1,0,0
1041,983,1221,988,1308,454
4560,4671,5096,4042,4863,1710
0,2,2,0,5,0
25,38,36,50,51,24
503,545,635,457,659,177
260,324,312,331,426,116
92,120,102,84,154,42
14,7,14,12,11,9
4,8,8,6,7,4
0,0,0,0,0,0
7,8,8,13,14,2
0,0,0,0,0,0
4,6,5,11,14,3
3,3,6,5,4,2
41,50,43,35,58,16
83,101,110,91,152,37
7,12,16,4,14,3
22,31,38,48,64,20
31,41,24,40,79,19
788,1016,1129,1136,1577,484
0,0,0,1,0,0
262,232,282,249,416,106
51,31,47,54,71,22
4107,4295,4808,3966,5112,1621
85,94,111,107,155,34
1696,1679,1948,1509,1664,621
13,17,18,15,34,12
49,59,59,53,86,31
39,53,65,65,84,13
112,154,117,123,122,36
14,13,6,23,26,7
755,793,944,719,946,284
551,453,401,523,574,146
20,28,23,13,19,7
695,609,728,561,767,266
24,43,43,47,72,27
26,38,36,34,28,22
631,657,699,547,690,221
335,383,392,302,436,147
6,7,6,10,26,8
3153,4313,5192,2946,3692,1260
0,2,0,1,0,0
11,8,15,12,41,0
0,0,2,1,1,0
80,105,85,67,117,30
4,8,8,13,22,0
136,134,149,133,183,69
0,0,0,0,0,0
33,41,55,39,70,21
1,3,1,1,1,1
231,333,323,272,372,118
2430,2598,3098,2376,3184,1097
85,79,85,83,149,28
0,1,0,0,2,0
4,1,5,1,3,0
4,6,6,8,13,7
837,906,898,687,927,337
611,606,707,617,760,241
82,100,78,105,115,52
775,783,612,659,648,278
18,32,44,39,57,19
2155,2092,2347,1797,2565,737
8,4,10,25,41,6
3707,2464,3211,2818,3392,953
17,18,17,23,30,5
12,15,16,14,17,7
39,36,41,34,53,9
5,8,15,11,36,7
494,724,1032,606,1101,297
36,49,45,30,60,18
10,15,22,24,30,6
42,47,50,40,40,22
761,954,988,799,1016,349
1,0,3,0,0,0
1,1,0,3,4,0
30,35,36,97,130,36
57,61,79,65,112,22
372,325,450,285,540,150
51,47,43,54,83,22
5,12,14,6,18,6
4188,4203,4654,3785,4865,1464
0,0,0,0,0,0
0,0,3,1,1,2
1534,1825,2356,3090,2687,1124
111,148,117,319,465,142
622,744,784,835,946,311
0,0,0,0,0,0
214,332,377,143,208,65
2538,1827,3095,2778,3893,555
346,447,376,576,719,196
3881,3974,3708,3603,4393,1563
0,1,1,0,1,1
2,0,1,2,1,0
76,81,93,68,83,23
2,1,4,2,1,0
3,5,4,1,3,1
25,20,43,29,45,15
36,39,51,48,32,14
184,260,303,145,255,54
19,7,10,19,7,16
116,133,155,143,162,59
26,24,38,42,55,17
5,10,9,7,11,4
29,39,21,17,25,7
408,449,476,302,356,146
1,4,4,6,11,1
461,424,526,467,647,200
33,31,33,33,69,22
22,38,36,22,51,14
6,6,6,6,9,5
52900,58462,51117,67590,55674,24725
13913,14312,14801,11266,13470,5229
118,118,151,129,158,41
4,8,3,2,3,0
0,0,0,0,0,0
3,0,4,4,3,3
8,7,10,7,6,4
0,0,0,0,0,0
43,21,32,17,17,6
9,13,11,17,21,7
264,328,362,293,390,137
661,811,961,824,1045,381
181,194,262,205,300,70
20,23,22,16,25,8
116,100,146,106,190,52
99,97,122,98,112,49
64,92,133,112,209,77
11643,14136,11424,9594,11620,3487
12,17,19,11,12,3
369,460,518,431,610,171
6,6,6,6,11,1
1,5,2,1,3,4
2,0,2,2,0,1
0,2,5,2,1,0
778,1133,1739,686,788,322
86,100,74,101,97,24
9,7,10,0,7,0
414,417,414,375,459,139
494,608,679,110,214,63
1,1,2,1,0,1
237,282,264,473,605,178
4,1,6,4,3,2
34,28,21,31,23,8
162,144,208,201,272,58
22,38,64,59,71,29
8,5,8,9,10,6
183,199,209,202,218,66
71,84,89,95,113,25
20,19,24,18,20,4
145,206,177,161,190,52
2,4,5,0,4,0
1,1,0,1,1,4
257,309,326,257,303,104
269,288,349,236,386,96
111,110,89,57,88,27
1263,1356,1429,963,1293,382
4,3,10,18,20,6
7251,9385,10228,8464,15755,3336
20,27,43,11,30,6
0,2,0,0,1,0
4865,5534,6022,4680,6176,1909
8,7,14,10,8,1
324,380,383,356,467,141
260,251,279,272,408,122
572,671,720,554,842,256
12,20,11,39,66,14
4,12,8,0,3,0
203,335,398,353,456,117
6,6,4,6,5,2
14,14,14,19,35,9
33,57,54,42,59,19
4,6,7,20,18,3
98,88,114,74,91,30
13,9,12,16,29,5
13,12,11,38,50,16
1744,1946,2306,2239,3048,938
384,302,426,321,490,100
708,742,746,413,539,154
0,0,0,0,0,0
178,208,212,206,256,57
16,13,10,16,15,3
0,2,5,13,8,0
3,6,5,4,8,1
642,782,851,787,1027,270
26,47,26,29,40,12
1208,1335,1382,203,515,109
386,445,542,446,587,190
390,497,512,98,194,36
0,0,0,0,0,0
6002,7027,5754,6662,8047,2609
144,241,201,212,308,117
3,0,1,2,1,0
33,42,56,58,53,19
25,15,20,28,46,11
0,0,0,1,2,0
2145,1353,773,1355,828,659
3,7,1,10,8,2
27,34,22,24,33,19
47,74,101,106,160,21
222,245,232,70,96,34
1,1,4,5,23,5
33,33,37,40,51,10
19,15,22,22,30,23
1321,1375,1427,197,323,75
0,0,0,0,0,0
